,Country's numerical code,Country's 3-letter code,Community label,year
1,2,USA,1.0,1870
2,70,MEX,1.0,1870
3,160,ARG,1.0,1870
4,200,UKG,2.0,1870
5,220,FRN,3.0,1870
6,255,GMY,4.0,1870
7,740,JPN,1.0,1870
8,100,COL,4.0,1870
9,211,BEL,4.0,1870
10,210,NTH,4.0,1870
11,235,POR,3.0,1870
12,325,ITA,5.0,1870
13,365,RUS,3.0,1870
14,380,SWD,6.0,1870
15,710,CHN,1.0,1870
16,135,PER,7.0,1870
17,140,BRA,8.0,1870
18,155,CHL,9.0,1870
19,230,SPN,3.0,1870
20,350,GRC,10.0,1870
21,390,DEN,6.0,1870
22,640,TUR,11.0,1870
23,300,AUH,5.0,1870
24,225,SWZ,5.0,1870
26,2,USA,1.0,1871
27,70,MEX,1.0,1871
28,160,ARG,2.0,1871
29,200,UKG,3.0,1871
30,220,FRN,4.0,1871
31,230,SPN,4.0,1871
32,255,GMY,2.0,1871
33,710,CHN,1.0,1871
34,740,JPN,1.0,1871
35,100,COL,5.0,1871
36,211,BEL,2.0,1871
37,210,NTH,2.0,1871
38,235,POR,4.0,1871
39,325,ITA,6.0,1871
40,380,SWD,7.0,1871
41,135,PER,8.0,1871
42,140,BRA,9.0,1871
43,155,CHL,10.0,1871
44,300,AUH,6.0,1871
45,350,GRC,6.0,1871
46,365,RUS,6.0,1871
47,390,DEN,7.0,1871
48,640,TUR,6.0,1871
49,225,SWZ,6.0,1871
51,2,USA,1.0,1872
52,160,ARG,1.0,1872
53,200,UKG,2.0,1872
54,210,NTH,1.0,1872
55,211,BEL,1.0,1872
56,220,FRN,1.0,1872
57,230,SPN,1.0,1872
58,325,ITA,3.0,1872
59,100,COL,2.0,1872
60,140,BRA,1.0,1872
61,235,POR,1.0,1872
62,380,SWD,4.0,1872
63,710,CHN,2.0,1872
64,255,GMY,1.0,1872
65,135,PER,2.0,1872
66,155,CHL,2.0,1872
67,300,AUH,3.0,1872
68,350,GRC,2.0,1872
69,365,RUS,1.0,1872
70,390,DEN,4.0,1872
71,640,TUR,2.0,1872
72,740,JPN,2.0,1872
73,225,SWZ,3.0,1872
75,2,USA,1.0,1873
76,70,MEX,1.0,1873
77,140,BRA,1.0,1873
78,200,UKG,2.0,1873
79,220,FRN,3.0,1873
80,255,GMY,4.0,1873
81,100,COL,2.0,1873
82,155,CHL,2.0,1873
83,160,ARG,4.0,1873
84,211,BEL,4.0,1873
85,210,NTH,4.0,1873
86,230,SPN,3.0,1873
87,235,POR,3.0,1873
88,325,ITA,5.0,1873
89,365,RUS,4.0,1873
90,380,SWD,6.0,1873
91,710,CHN,2.0,1873
92,130,ECU,2.0,1873
93,135,PER,2.0,1873
94,350,GRC,2.0,1873
95,390,DEN,6.0,1873
96,600,MOR,2.0,1873
97,740,JPN,3.0,1873
98,640,TUR,3.0,1873
99,225,SWZ,3.0,1873
100,300,AUH,5.0,1873
102,2,USA,1.0,1874
103,70,MEX,1.0,1874
104,200,UKG,1.0,1874
105,220,FRN,2.0,1874
106,230,SPN,1.0,1874
107,255,GMY,3.0,1874
108,100,COL,1.0,1874
109,155,CHL,1.0,1874
110,160,ARG,2.0,1874
111,210,NTH,3.0,1874
112,211,BEL,3.0,1874
113,235,POR,2.0,1874
114,325,ITA,3.0,1874
115,365,RUS,3.0,1874
116,380,SWD,3.0,1874
117,390,DEN,3.0,1874
118,710,CHN,1.0,1874
119,740,JPN,1.0,1874
120,135,PER,2.0,1874
121,140,BRA,2.0,1874
122,350,GRC,1.0,1874
123,600,MOR,1.0,1874
124,640,TUR,2.0,1874
125,41,HAI,2.0,1874
126,225,SWZ,2.0,1874
127,300,AUH,3.0,1874
129,2,USA,1.0,1875
130,70,MEX,1.0,1875
131,140,BRA,1.0,1875
132,200,UKG,2.0,1875
133,220,FRN,3.0,1875
134,255,GMY,4.0,1875
135,100,COL,2.0,1875
136,155,CHL,2.0,1875
137,210,NTH,4.0,1875
138,211,BEL,4.0,1875
139,230,SPN,3.0,1875
140,235,POR,2.0,1875
141,365,RUS,4.0,1875
142,380,SWD,2.0,1875
143,390,DEN,4.0,1875
144,710,CHN,2.0,1875
145,130,ECU,2.0,1875
146,135,PER,2.0,1875
147,160,ARG,3.0,1875
148,350,GRC,2.0,1875
149,600,MOR,2.0,1875
150,325,ITA,3.0,1875
151,740,JPN,3.0,1875
152,225,SWZ,3.0,1875
153,300,AUH,3.0,1875
155,2,USA,1.0,1876
156,70,MEX,1.0,1876
157,160,ARG,1.0,1876
158,200,UKG,2.0,1876
159,220,FRN,3.0,1876
160,255,GMY,4.0,1876
161,740,JPN,1.0,1876
