Country_A,Country_B,Exports,Imports,Income_level,Consumption,Partners_consump,Exports_share,Imports_share,Trade relation,Consumption transmission,Convergence rate,Consumption growth,Imports growth rate
1,2,40,160,1,100,50.000,0.118,0.326,2.770,0.163,0.010,0.002,0.050
1,3,50,52,1,100,25.000,0.147,0.106,0.720,0.026,0.010,0.000,0.050
1,4,20,40,1,100,25.000,0.059,0.081,1.385,0.020,0.010,0.000,0.050
1,5,30,32,1,100,10.000,0.088,0.065,0.739,0.007,0.010,0.000,0.050
1,6,30,25,1,100,10.000,0.088,0.051,0.577,0.005,0.010,0.000,0.050
1,7,25,30,1,100,5.000,0.074,0.061,0.831,0.003,0.010,0.000,0.050
1,8,35,37,1,100,5.000,0.103,0.075,0.732,0.004,0.010,0.000,0.050
1,9,20,22,1,100,5.000,0.059,0.045,0.762,0.002,0.010,0.000,0.050
1,10,18,20,1,100,4.000,0.053,0.041,0.769,0.002,0.010,0.000,0.050
1,11,15,20,1,100,4.000,0.044,0.041,0.923,0.002,0.010,0.000,0.050
1,12,16,20,1,100,4.000,0.047,0.041,0.866,0.002,0.010,0.000,0.050
1,13,15,10,1,100,2.000,0.044,0.020,0.462,0.000,0.010,0.000,0.050
1,14,14,12,1,100,2.000,0.041,0.024,0.594,0.000,0.010,0.000,0.050
1,15,12,11,1,100,2.000,0.035,0.022,0.635,0.000,0.010,0.000,0.050
2,1,160,40,1,50,100,,,,,0.010,,0.050
2,3,80,40,1,50,25.000,,,,,0.010,,0.050
2,4,30,30,1,50,10.000,,,,,0.010,,0.050
2,5,50,48,1,50,10.000,,,,,0.010,,0.050
2,6,50,25,1,50,10.000,,,,,0.010,,0.050
2,7,40,10,1,50,5.000,,,,,0.010,,0.050
2,8,38,12,1,50,5.000,,,,,0.010,,0.050
2,9,35,15,1,50,5.000,,,,,0.010,,0.050
2,10,30,15,1,50,4.000,,,,,0.010,,0.050
2,11,28,13,1,50,4.000,,,,,0.010,,0.050
2,12,25,10,1,50,4.000,,,,,0.010,,0.050
2,13,25,5,1,50,2.000,,,,,0.010,,0.050
2,14,20,5,1,50,2.000,,,,,0.010,,0.050
2,15,15,5,1,50,2.000,,,,,0.010,,0.050
